sales_date,CustomerID,gross_sales,returns,net_sales
2010-12-01,NULL,12584.30,0.00,12584.30
2010-12-01,12431,358.25,0.00,358.25
2010-12-01,12433,1919.14,0.00,1919.14
2010-12-01,12472,0.00,-122.30,-122.30
2010-12-01,12583,855.86,0.00,855.86
2010-12-01,12662,261.48,0.00,261.48
2010-12-01,12748,4.95,0.00,4.95
2010-12-01,12791,192.60,0.00,192.60
2010-12-01,12838,390.79,0.00,390.79
2010-12-01,12868,203.30,0.00,203.30
2010-12-01,12921,322.40,0.00,322.40
2010-12-01,12947,304.04,0.00,304.04
2010-12-01,13047,366.63,0.00,366.63
2010-12-01,13065,205.86,0.00,205.86
2010-12-01,13093,799.40,0.00,799.40
2010-12-01,13255,225.70,0.00,225.70
2010-12-01,13408,1024.68,0.00,1024.68
2010-12-01,13448,443.96,0.00,443.96
2010-12-01,13468,360.05,0.00,360.05
2010-12-01,13576,349.15,0.00,349.15
2010-12-01,13694,842.12,0.00,842.12
2010-12-01,13705,318.14,0.00,318.14
2010-12-01,13747,79.60,0.00,79.60
2010-12-01,13748,204.00,0.00,204.00
2010-12-01,13758,362.45,0.00,362.45
2010-12-01,13767,507.88,0.00,507.88
2010-12-01,13777,6585.16,0.00,6585.16
2010-12-01,14001,301.24,0.00,301.24
2010-12-01,14045,326.40,0.00,326.40
2010-12-01,14078,136.24,0.00,136.24
2010-12-01,14142,311.81,0.00,311.81
2010-12-01,14237,161.00,0.00,161.00
2010-12-01,14307,783.11,0.00,783.11
2010-12-01,14496,304.34,0.00,304.34
2010-12-01,14527,0.00,-27.50,-27.50
2010-12-01,14594,255.00,0.00,255.00
2010-12-01,14606,198.32,0.00,198.32
2010-12-01,14688,444.98,0.00,444.98
2010-12-01,14696,294.62,0.00,294.62
2010-12-01,14729,313.49,0.00,313.49
2010-12-01,14849,355.84,0.00,355.84
2010-12-01,14911,555.38,0.00,555.38
2010-12-01,15012,191.06,0.00,191.06
2010-12-01,15100,350.40,0.00,350.40
2010-12-01,15165,487.75,0.00,487.75
2010-12-01,15235,79.50,0.00,79.50
2010-12-01,15291,328.80,0.00,328.80
2010-12-01,15311,449.98,-4.65,445.33
2010-12-01,15350,115.65,0.00,115.65
2010-12-01,15485,950.09,0.00,950.09
2010-12-01,15513,357.00,0.00,357.00
2010-12-01,15525,313.93,0.00,313.93
2010-12-01,15605,194.85,0.00,194.85
2010-12-01,15862,354.23,0.00,354.23
2010-12-01,15922,369.50,0.00,369.50
2010-12-01,15983,440.89,0.00,440.89
2010-12-01,16029,3702.12,0.00,3702.12
2010-12-01,16048,256.44,0.00,256.44
2010-12-01,16098,430.60,0.00,430.60
2010-12-01,16210,2474.74,0.00,2474.74
2010-12-01,16218,471.30,0.00,471.30
2010-12-01,16250,226.14,0.00,226.14
2010-12-01,16274,357.95,0.00,357.95
2010-12-01,16456,787.40,0.00,787.40
2010-12-01,16539,442.35,0.00,442.35
2010-12-01,16552,95.29,0.00,95.29
2010-12-01,16583,233.45,0.00,233.45
2010-12-01,16835,81.75,0.00,81.75
2010-12-01,16928,116.25,0.00,116.25
2010-12-01,16955,156.10,0.00,156.10
2010-12-01,17025,160.97,0.00,160.97
2010-12-01,17069,277.05,0.00,277.05
2010-12-01,17181,155.52,0.00,155.52
2010-12-01,17346,146.61,0.00,146.61
2010-12-01,17377,223.90,0.00,223.90
2010-12-01,17420,130.85,0.00,130.85
2010-12-01,17460,19.90,0.00,19.90
2010-12-01,17511,1825.74,0.00,1825.74
2010-12-01,17548,0.00,-141.48,-141.48
2010-12-01,17572,70.80,0.00,70.80
2010-12-01,17643,101.55,0.00,101.55
2010-12-01,17690,376.80,0.00,376.80
2010-12-01,17760,172.54,0.00,172.54
2010-12-01,17809,34.80,0.00,34.80
2010-12-01,17841,537.38,-3.80,533.58
2010-12-01,17850,1499.34,0.00,1499.34
2010-12-01,17873,215.15,0.00,215.15
2010-12-01,17897,165.89,-25.50,140.39
2010-12-01,17905,201.75,0.00,201.75
2010-12-01,17908,243.28,0.00,243.28
2010-12-01,17920,514.41,0.00,514.41
2010-12-01,17924,279.00,0.00,279.00
2010-12-01,17951,295.50,0.00,295.50
2010-12-01,17968,277.35,0.00,277.35
2010-12-01,18011,102.79,0.00,102.79
2010-12-01,18074,489.60,0.00,489.60
2010-12-01,18085,303.90,0.00,303.90
2010-12-01,18144,165.05,0.00,165.05
2010-12-01,18229,344.20,0.00,344.20
2010-12-02,NULL,431.85,0.00,431.85
2010-12-02,12471,0.00,-17.00,-17.00
2010-12-02,12738,155.35,0.00,155.35
2010-12-02,12748,4.25,0.00,4.25
2010-12-02,12855,38.10,0.00,38.10
2010-12-02,12915,199.65,0.00,199.65
2010-12-02,12971,45.12,0.00,45.12
2010-12-02,13011,50.55,0.00,50.55
2010-12-02,13090,160.60,0.00,160.60
2010-12-02,13108,350.06,0.00,350.06
2010-12-02,13117,202.12,0.00,202.12
2010-12-02,13138,193.23,0.00,193.23
2010-12-02,13145,295.00,0.00,295.00
2010-12-02,13295,0.00,-3.25,-3.25
2010-12-02,13305,136.20,0.00,136.20
2010-12-02,13402,308.28,0.00,308.28
2010-12-02,13408,0.00,-20.85,-20.85
2010-12-02,13418,623.24,0.00,623.24
2010-12-02,13491,98.90,0.00,98.90
2010-12-02,13715,272.65,0.00,272.65
2010-12-02,13767,322.80,-2.10,320.70
2010-12-02,13798,408.00,0.00,408.00
2010-12-02,13941,1095.12,0.00,1095.12
2010-12-02,13958,0.00,-102.45,-102.45
2010-12-02,14031,1714.25,0.00,1714.25
2010-12-02,14047,286.92,0.00,286.92
2010-12-02,14060,339.84,0.00,339.84
2010-12-02,14092,0.00,-5.90,-5.90
2010-12-02,14135,485.25,0.00,485.25
2010-12-02,14156,0.00,-7.50,-7.50
2010-12-02,14180,201.75,0.00,201.75
2010-12-02,14236,189.30,0.00,189.30
2010-12-02,14264,0.00,-14.50,-14.50
2010-12-02,14388,312.80,0.00,312.80
2010-12-02,14390,223.70,-5.95,217.75
2010-12-02,14395,308.68,0.00,308.68
2010-12-02,14443,0.00,-15.57,-15.57
2010-12-02,14449,210.24,0.00,210.24
2010-12-02,14466,379.75,0.00,379.75
2010-12-02,14491,127.20,0.00,127.20
2010-12-02,14573,413.10,0.00,413.10
2010-12-02,14576,35.40,0.00,35.40
2010-12-02,14625,0.00,-37.65,-37.65
2010-12-02,14741,184.50,0.00,184.50
2010-12-02,14766,0.00,-29.90,-29.90
2010-12-02,14775,406.56,0.00,406.56
2010-12-02,14829,236.97,0.00,236.97
2010-12-02,14865,37.20,0.00,37.20
2010-12-02,14901,204.15,0.00,204.15
2010-12-02,14911,22.50,0.00,22.50
2010-12-02,15061,9407.34,0.00,9407.34
2010-12-02,15070,106.20,0.00,106.20
2010-12-02,15093,623.73,0.00,623.73
2010-12-02,15107,116.00,0.00,116.00
2010-12-02,15111,288.50,0.00,288.50
2010-12-02,15260,420.50,0.00,420.50
2010-12-02,15299,1835.01,0.00,1835.01
2010-12-02,15363,326.00,0.00,326.00
2010-12-02,15384,0.00,-6.65,-6.65
2010-12-02,15544,354.54,0.00,354.54
2010-12-02,15574,375.65,0.00,375.65
2010-12-02,15601,768.38,0.00,768.38
2010-12-02,15640,333.72,0.00,333.72
2010-12-02,15646,189.80,0.00,189.80
2010-12-02,15658,306.20,0.00,306.20
2010-12-02,15694,306.40,0.00,306.40
2010-12-02,15732,138.10,0.00,138.10
2010-12-02,15738,329.65,0.00,329.65
2010-12-02,15752,259.65,0.00,259.65
2010-12-02,15823,15.00,0.00,15.00
2010-12-02,15827,190.93,0.00,190.93
2010-12-02,15834,0.00,-23.85,-23.85
2010-12-02,15838,0.00,-280.80,-280.80
2010-12-02,15922,0.00,-5.90,-5.90
2010-12-02,15923,127.08,0.00,127.08
2010-12-02,15955,572.38,0.00,572.38
2010-12-02,16029,569.40,0.00,569.40
2010-12-02,16042,0.00,-24.95,-24.95
2010-12-02,16150,393.42,0.00,393.42
2010-12-02,16186,307.68,0.00,307.68
2010-12-02,16203,170.70,0.00,170.70
2010-12-02,16244,1056.63,0.00,1056.63
2010-12-02,16510,248.10,0.00,248.10
2010-12-02,16546,299.40,-883.08,-583.68
2010-12-02,16634,164.80,0.00,164.80
2010-12-02,16752,207.50,0.00,207.50
2010-12-02,16754,2002.40,0.00,2002.40
2010-12-02,16770,130.80,0.00,130.80
2010-12-02,16781,311.25,0.00,311.25
2010-12-02,16916,198.08,0.00,198.08
2010-12-02,16995,0.00,-1.25,-1.25
2010-12-02,17017,877.32,0.00,877.32
2010-12-02,17228,183.30,0.00,183.30
2010-12-02,17235,341.90,0.00,341.90
2010-12-02,17287,113.92,0.00,113.92
2010-12-02,17381,1036.08,0.00,1036.08
2010-12-02,17412,197.30,0.00,197.30
2010-12-02,17460,50.40,0.00,50.40
2010-12-02,17547,0.00,-11.80,-11.80
2010-12-02,17552,298.52,0.00,298.52
2010-12-02,17567,517.95,0.00,517.95
2010-12-02,17581,786.78,0.00,786.78
2010-12-02,17659,247.80,0.00,247.80
2010-12-02,17685,452.52,0.00,452.52
2010-12-02,17732,303.97,0.00,303.97
2010-12-02,17757,143.45,0.00,143.45
2010-12-02,17802,100.20,0.00,100.20
2010-12-02,17838,717.16,0.00,717.16
2010-12-02,17850,3891.87,0.00,3891.87
2010-12-02,17855,208.97,0.00,208.97
2010-12-02,17924,0.00,-23.25,-23.25
2010-12-02,17925,244.08,0.00,244.08
2010-12-02,17961,127.55,0.00,127.55
2010-12-02,17964,261.76,0.00,261.76
2010-12-02,17976,353.19,0.00,353.19
2010-12-02,18041,428.94,0.00,428.94
2010-12-02,18168,263.30,-16.95,246.35
2010-12-02,18239,438.10,0.00,438.10
2010-12-03,NULL,23022.00,0.00,23022.00
2010-12-03,12395,346.10,0.00,346.10
2010-12-03,12427,303.50,0.00,303.50
2010-12-03,12557,620.00,0.00,620.00
2010-12-03,12600,76.50,0.00,76.50
2010-12-03,12682,336.24,0.00,336.24
2010-12-03,12686,89.14,0.00,89.14
2010-12-03,12712,175.53,0.00,175.53
2010-12-03,12725,427.80,0.00,427.80
2010-12-03,12779,248.16,0.00,248.16
2010-12-03,12793,131.80,0.00,131.80
2010-12-03,12841,294.25,0.00,294.25
2010-12-03,12967,1368.40,0.00,1368.40
2010-12-03,13013,1528.34,0.00,1528.34
2010-12-03,13081,2366.78,0.00,2366.78
2010-12-03,13370,754.87,0.00,754.87
2010-12-03,13408,534.00,0.00,534.00
2010-12-03,13520,303.40,0.00,303.40
2010-12-03,13941,0.00,-75.60,-75.60
2010-12-03,14083,309.54,0.00,309.54
2010-12-03,14156,322.20,0.00,322.20
2010-12-03,14210,304.95,0.00,304.95
2010-12-03,14213,0.00,-1192.20,-1192.20
2010-12-03,14396,110.35,0.00,110.35
2010-12-03,14589,39.75,0.00,39.75
2010-12-03,14679,0.00,-2.55,-2.55
2010-12-03,14680,1680.88,0.00,1680.88
2010-12-03,14723,250.94,0.00,250.94
2010-12-03,14898,98.50,0.00,98.50
2010-12-03,14911,1705.65,0.00,1705.65
2010-12-03,15240,0.00,-5.45,-5.45
2010-12-03,15373,334.30,0.00,334.30
2010-12-03,15545,135.33,0.00,135.33
2010-12-03,15769,91.80,0.00,91.80
2010-12-03,16013,1062.00,0.00,1062.00
2010-12-03,16140,124.14,0.00,124.14
2010-12-03,16455,381.30,0.00,381.30
2010-12-03,16477,225.65,0.00,225.65
2010-12-03,16725,122.15,0.00,122.15
2010-12-03,16883,128.03,0.00,128.03
2010-12-03,16891,232.26,0.00,232.26
2010-12-03,16905,254.40,0.00,254.40
2010-12-03,16926,230.25,0.00,230.25
2010-12-03,17135,215.58,0.00,215.58
2010-12-03,17198,272.01,0.00,272.01
2010-12-03,17238,370.09,0.00,370.09
2010-12-03,17396,397.50,0.00,397.50
2010-12-03,17787,736.28,0.00,736.28
2010-12-03,17809,1216.70,0.00,1216.70
2010-12-03,17819,591.47,0.00,591.47
2010-12-03,17841,339.54,-5.70,333.84
2010-12-03,17884,187.51,0.00,187.51
2010-12-03,17949,1314.00,0.00,1314.00
2010-12-03,17954,108.78,-9.95,98.83
2010-12-03,17967,123.07,0.00,123.07
2010-12-03,18225,0.00,-31.80,-31.80
2010-12-05,NULL,3.35,0.00,3.35
2010-12-05,12472,1631.30,0.00,1631.30
2010-12-05,12567,1526.92,0.00,1526.92
2010-12-05,12647,372.00,0.00,372.00
2010-12-05,12720,473.39,0.00,473.39
2010-12-05,12747,358.56,0.00,358.56
2010-12-05,12748,966.40,-7.95,958.45
2010-12-05,12763,320.08,0.00,320.08
2010-12-05,12841,211.74,0.00,211.74
2010-12-05,13034,165.86,0.00,165.86
2010-12-05,13069,332.50,0.00,332.50
2010-12-05,13089,734.40,0.00,734.40
2010-12-05,13174,1415.97,0.00,1415.97
2010-12-05,13269,351.43,0.00,351.43
2010-12-05,13506,301.12,0.00,301.12
2010-12-05,13579,164.70,0.00,164.70
2010-12-05,13767,806.28,0.00,806.28
2010-12-05,13831,408.00,0.00,408.00
2010-12-05,13838,238.11,0.00,238.11
2010-12-05,14081,423.52,0.00,423.52
2010-12-05,14161,283.15,0.00,283.15
2010-12-05,14404,133.48,0.00,133.48
2010-12-05,14506,269.70,0.00,269.70
2010-12-05,14527,292.95,-29.29,263.66
2010-12-05,14606,192.68,-12.90,179.78
2010-12-05,14800,555.84,0.00,555.84
2010-12-05,14810,180.44,0.00,180.44
2010-12-05,14813,155.43,0.00,155.43
2010-12-05,15023,460.60,0.00,460.60
2010-12-05,15038,126.43,0.00,126.43
2010-12-05,15221,0.00,-289.15,-289.15
2010-12-05,15235,85.55,0.00,85.55
2010-12-05,15311,650.64,0.00,650.64
2010-12-05,15332,1598.06,0.00,1598.06
2010-12-05,15351,274.67,-13.39,261.28
2010-12-05,15426,411.42,0.00,411.42
2010-12-05,15465,535.75,0.00,535.75
2010-12-05,15502,736.70,0.00,736.70
2010-12-05,15555,198.43,0.00,198.43
2010-12-05,15570,517.65,0.00,517.65
2010-12-05,15708,350.68,-8.32,342.36
2010-12-05,15716,547.10,0.00,547.10
2010-12-05,15808,1021.45,0.00,1021.45
2010-12-05,15867,112.90,0.00,112.90
2010-12-05,15880,343.28,-30.00,313.28
2010-12-05,15889,297.92,0.00,297.92
2010-12-05,15894,156.74,0.00,156.74
2010-12-05,15953,209.84,0.00,209.84
2010-12-05,16033,155.64,0.00,155.64
2010-12-05,16143,355.75,0.00,355.75
2010-12-05,16168,275.80,0.00,275.80
2010-12-05,16241,277.65,0.00,277.65
2010-12-05,16327,535.60,0.00,535.60
