StockCode;Total_Returns
84968F;0.00
84968E;0.00
35833G;0.00
72038P;0.00
82599;0.00
22351;0.00
85096;0.00
85161;0.00
47591B;0.00
84611B;0.00
84612B;0.00
84613A;0.00
84614A;0.00
21769;0.00
84249A;0.00
35610C;0.00
35611B;0.00
35610B;0.00
35610A;0.00
21815;0.00
40016;0.00
85049D;0.00
72140F;0.00
21689;0.00
22459;0.00
72759;0.00
72732;0.00
35241;0.00
22127;0.00
84313B;0.00
84743C;0.00
21620;0.00
21100;0.00
35915C;0.00
37488A;0.00
37487B;0.00
37482P;0.00
85167B;0.00
84763;0.00
22458;0.00
20827;0.00
47013A;0.00
48189;0.00
21398;0.00
21656;0.00
23059;0.00
15058C;0.00
84563A;0.00
79030G;0.00
84804A;0.00
84801A;0.00
84805B;0.00
84805A;0.00
84313C;0.00
21397;0.00
79051A;0.00
37479B;0.00
37479P;0.00
37471;0.00
22857;0.00
23003;0.00
20867;0.00
21360;0.00
84809B;0.00
23115;0.00
23116;0.00
21421;0.00
21147;0.00
84597B;0.00
84865;0.00
84584;0.00
22051;0.00
84576;0.00
DCGS0073;0.00
DCGS0069;0.00
DCGS0068;0.00
DCGS0067;0.00
DCGS0003;0.00
21294;0.00
22740;0.00
20694;0.00
84877D;0.00
22823;0.00
22030;0.00
85215;0.00
85230E;0.00
35607B;0.00
35817P;0.00
21089;0.00
37343;0.00
84876D;0.00
21654;0.00
84563B;0.00
20700;0.00
20774;0.00
23269;0.00
35954;0.00
90180A;0.00
90195A;0.00
90210D;0.00
90057;0.00
90012B;0.00
90012A;0.00
90014A;0.00
90191;0.00
21823;0.00
21803;0.00
84596G;0.00
21761;0.00
20839;0.00
21627;0.00
20665;0.00
23595;0.00
35810A;0.00
85078;0.00
22572;0.00
85136C;0.00
85136A;0.00
17012B;0.00
85035B;0.00
21618;0.00
21619;0.00
47503H;0.00
21636;0.00
21192;0.00
85208;0.00
79323G;0.00
79323GR;0.00
79323LP;0.00
79323S;0.00
79341;0.00
79342B;0.00
20902;0.00
21818;0.00
21159;0.00
21014;0.00
35972;0.00
85125;0.00
21817;0.00
85111;0.00
17012C;0.00
21744;0.00
16008;0.00
35818B;0.00
22587;0.00
85035C;0.00
22286;0.00
21018;0.00
21819;0.00
35833P;0.00
21615;0.00
84581;0.00
84859C;0.00
21793;0.00
22043;0.00
84912B;0.00
16045;0.00
20652;0.00
21109;0.00
22481;0.00
84508C;0.00
21693;0.00
21688;0.00
72801C;0.00
85204;-0.12
21883;-0.19
16235;-0.21
51020B;-0.29
23185;-0.29
84750B;-0.39
79030D;-0.39
22400;-0.39
84927A;-0.39
35923;-0.39
21982;-0.39
16258A;-0.42
23005;-0.42
84228;-0.42
44234;-0.42
21802;-0.42
22546;-0.42
22545;-0.42
21503;-0.42
22540;-0.42
47422;-0.42
51020A;-0.58
35598D;-0.65
85160B;-0.78
84751B;-0.79
23375;-0.82
62043B;-0.83
22547;-0.84
22421;-0.84
21520;-0.84
22489;-0.84
23508;-0.84
22534;-0.84
84006;-0.85
20832;-0.85
21389;-0.85
72140E;-0.85
85213;-0.85
84971S;-0.85
85177;-0.85
21722;-0.85
85176;-0.85
23398;-0.85
35961;-0.85
22594;-0.85
22321;-0.85
22560;-1.06
22405;-1.06
21015;-1.16
21736;-1.17
37340;-1.17
22279;-1.25
22316;-1.25
85169D;-1.25
22406;-1.25
21447;-1.25
22757;-1.25
21163;-1.25
21774;-1.25
22053;-1.25
21648;-1.25
84510A;-1.25
21456;-1.25
35921;-1.25
22977;-1.25
22975;-1.25
22954;-1.25
23100;-1.25
20707;-1.25
22477;-1.25
21718;-1.25
10135;-1.25
22409;-1.25
23567;-1.25
23264;-1.25
85036A;-1.25
22563;-1.25
23370;-1.25
23568;-1.25
22999;-1.26
79190A;-1.26
22820;-1.30
22227;-1.30
21383;-1.30
22608;-1.33
47013C;-1.44
20957;-1.45
22671;-1.45
22136;-1.45
21248;-1.45
21973;-1.45
47574A;-1.50
46000M;-1.55
37327;-1.56
85211;-1.58
85025B;-1.65
85039A;-1.65
22195;-1.65
21319;-1.65
85025C;-1.65
22906;-1.65
85024C;-1.65
21935;-1.65
21584;-1.65
22296;-1.65
85039C;-1.65
23280;-1.66
22152;-1.68
84849B;-1.69
22228;-1.70
22229;-1.70
22581;-1.70
17129F;-1.70
21385;-1.70
23285;-1.70
21033;-1.79
22877;-1.95
22869;-1.95
22131;-1.95
20705;-1.95
22471;-1.95
22789;-1.95
84906;-1.95
84857C;-1.95
84927F;-1.95
22885;-1.95
22883;-1.95
22882;-1.95
22066;-1.95
23452;-1.95
23419;-2.08
22878;-2.10
21647;-2.10
21417;-2.10
20830;-2.10
20754;-2.10
85170B;-2.10
20751;-2.10
22378;-2.10
21088;-2.28
79337;-2.28
84251B;-2.28
22096;-2.34
23150;-2.49
23122;-2.49
35471D;-2.50
20941;-2.50
84800S;-2.50
21272;-2.50
21125;-2.50
21494;-2.50
23503;-2.50
85183A;-2.50
23437;-2.50
21412;-2.52
22419;-2.52
22908;-2.55
22638;-2.55
20772;-2.55
85023C;-2.55
84508A;-2.55
21556;-2.55
22305;-2.55
90076;-2.55
85188A;-2.55
21588;-2.55
21201;-2.55
22350;-2.55
84659A;-2.55
20973;-2.60
21981;-2.73
16219;-2.88
23189;-2.89
21972;-2.90
22154;-2.94
20936;-2.95
35832;-2.95
22272;-2.95
85185B;-2.95
21316;-2.95
22453;-2.95
15044B;-2.95
15044A;-2.95
85087;-2.95
22483;-2.95
22811;-2.95
21380;-2.95
90162B;-2.95
22452;-2.95
84086B;-2.95
23630;-2.99
23377;-3.12
21900;-3.25
DOT;-3.29
84595E;-3.29
22331;-3.30
23190;-3.30
21206;-3.30
23023;-3.30
85114B;-3.30
23332;-3.30
22450;-3.35
22713;-3.36
22354;-3.39
22250;-3.40
22249;-3.40
84559B;-3.40
20982;-3.40
22601;-3.40
22260;-3.40
22261;-3.40
84452;-3.40
21422;-3.40
35001W;-3.49
84685;-3.75
22202;-3.75
84870B;-3.75
22511;-3.75
85098B;-3.75
15060B;-3.75
21390;-3.75
23061;-3.75
22772;-3.75
90064B;-3.75
82616C;-3.75
21775;-3.75
84856S;-3.81
21704;-3.86
21143;-3.90
22319;-3.90
35004G;-3.90
47591D;-3.90
85132A;-3.90
21461;-3.90
21395;-3.90
84857B;-3.90
23368;-3.90
21263;-3.90
22097;-3.90
84813;-3.95
84884A;-3.95
22188;-3.95
23129;-4.15
23390;-4.15
23312;-4.15
20752;-4.20
22440;-4.20
84927E;-4.20
84927D;-4.20
84809A;-4.20
10133;-4.20
22412;-4.20
22515;-4.20
85088;-4.20
22245;-4.25
90200B;-4.25
22372;-4.25
22262;-4.25
90018C;-4.25
90018A;-4.25
21407;-4.25
22650;-4.35
21578;-4.50
84660A;-4.54
21144;-4.56
21084;-4.56
22161;-4.56
21650;-4.56
21179;-4.68
22287;-4.68
22615;-4.68
21822;-4.69
23327;-4.72
22241;-4.81
79164;-4.95
79320;-4.95
23117;-4.95
23180;-4.95
23191;-4.95
21708;-4.95
23192;-4.95
84629;-4.95
23405;-4.95
23424;-4.95
21317;-4.95
23274;-4.95
23164;-4.95
23329;-4.95
23411;-4.95
22062;-4.98
23123;-4.98
23024;-4.98
21826;-5.00
21445;-5.00
47504H;-5.00
47563A;-5.00
23566;-5.00
22034;-5.04
22028;-5.04
22714;-5.04
22031;-5.04
22026;-5.04
22025;-5.04
22024;-5.04
22023;-5.04
21506;-5.04
22042;-5.04
22029;-5.04
21508;-5.04
84678;-5.05
84800M;-5.07
84803B;-5.07
21561;-5.10
22583;-5.10
22110;-5.10
22576;-5.10
22598;-5.10
79163;-5.16
82551;-5.20
21917;-5.46
20781;-5.49
15044D;-5.50
16202E;-5.55
84839;-5.55
21902;-5.85
22433;-5.85
21901;-5.85
22175;-5.90
22904;-5.90
22176;-5.90
21038;-5.90
85071B;-5.90
22742;-5.90
22314;-5.90
22944;-5.93
20983;-5.95
84575A;-5.95
85061W;-5.95
22121;-5.95
84843;-5.95
23535;-5.95
21382;-6.00
79000;-6.05
84950;-6.10
21930;-6.24
20956;-6.25
22670;-6.25
20677;-6.25
22966;-6.25
23565;-6.25
21427;-6.30
22441;-6.30
21391;-6.30
72351B;-6.30
21012;-6.30
90209C;-6.30
