InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country;InvoiceRank
C575223;22973;CHILDREN'S CIRCUS PARADE MUG;-1;09/11/2011 11:33;1,65;12472;Germany;391
C575064;21669;BLUE STRIPE CERAMIC DRAWER KNOB;-1;08/11/2011 12:39;1,45;12472;Germany;385
C575064;22212;FOUR HOOK  WHITE LOVEBIRDS;-1;08/11/2011 12:39;2,1;12472;Germany;385
C575064;22467;GUMBALL COAT RACK;-8;08/11/2011 12:39;2,55;12472;Germany;385
C575064;23494;VINTAGE DOILY DELUXE SEWING KIT ;-1;08/11/2011 12:39;5,95;12472;Germany;385
C575064;20712;JUMBO BAG WOODLAND ANIMALS;-2;08/11/2011 12:39;2,08;12472;Germany;385
C575064;20749;ASSORTED COLOUR MINI CASES;-1;08/11/2011 12:39;7,95;12472;Germany;385
C559253;23237;SET OF 4 KNICK KNACK TINS LEAF;-1;07/07/2011 11:44;4,15;12472;Germany;243
C559253;22556;PLASTERS IN TIN CIRCUS PARADE ;-1;07/07/2011 11:44;1,65;12472;Germany;243
C559253;22467;GUMBALL COAT RACK;-2;07/07/2011 11:44;2,55;12472;Germany;243
C559253;22430;ENAMEL WATERING CAN CREAM;-1;07/07/2011 11:44;4,95;12472;Germany;243
C559253;22333;RETROSPOT PARTY BAG + STICKER SET;-1;07/07/2011 11:44;1,65;12472;Germany;243
C559253;21671;RED SPOT CERAMIC DRAWER KNOB;-2;07/07/2011 11:44;1,25;12472;Germany;243
C559253;23236;DOILEY STORAGE TIN;-1;07/07/2011 11:44;2,89;12472;Germany;243
C559253;22326;ROUND SNACK BOXES SET OF4 WOODLAND ;-1;07/07/2011 11:44;2,95;12472;Germany;243
C559253;21669;BLUE STRIPE CERAMIC DRAWER KNOB;-1;07/07/2011 11:44;1,25;12472;Germany;243
C548356;21383;PACK OF 12 STICKY BUNNIES;-2;30/03/2011 15:12;0,65;12472;Germany;168
C548356;21559;STRAWBERRY LUNCH BOX WITH CUTLERY;-3;30/03/2011 15:12;2,55;12472;Germany;168
C548356;21731;RED TOADSTOOL LED NIGHT LIGHT;-2;30/03/2011 15:12;1,65;12472;Germany;168
C548356;22326;ROUND SNACK BOXES SET OF4 WOODLAND ;-1;30/03/2011 15:12;2,95;12472;Germany;168
C548356;22444;GROW YOUR OWN PLANT IN A CAN ;-3;30/03/2011 15:12;1,25;12472;Germany;168
C548356;22423;REGENCY CAKESTAND 3 TIER;-1;30/03/2011 15:12;12,75;12472;Germany;168
C548356;22467;GUMBALL COAT RACK;-9;30/03/2011 15:12;2,55;12472;Germany;168
C543347;85049G;CHOCOLATE BOX RIBBONS ;-2;07/02/2011 12:44;1,25;12472;Germany;127
C543347;85049E;SCANDINAVIAN REDS RIBBONS;-3;07/02/2011 12:44;1,25;12472;Germany;127
C543347;22467;GUMBALL COAT RACK;-6;07/02/2011 12:44;2,55;12472;Germany;127
C543347;22423;REGENCY CAKESTAND 3 TIER;-2;07/02/2011 12:44;12,75;12472;Germany;127
C543347;22328;ROUND SNACK BOXES SET OF 4 FRUITS ;-2;07/02/2011 12:44;2,95;12472;Germany;127
