Date,Sales
2010-12-01,57328.6
2010-12-02,46189.28
2010-12-03,43510.73
2010-12-05,30957.28
2010-12-06,50907.56
2010-12-07,41792.56
2010-12-08,43375.58
2010-12-09,48978.46
2010-12-10,55205.1
2010-12-12,17240.92
2010-12-13,35458.84
2010-12-14,42007.09
2010-12-15,29517.91
2010-12-16,48088.35
2010-12-17,39404.72
2010-12-19,7395.31
2010-12-20,23504.21
2010-12-21,43469.76
2010-12-22,4791.17
2010-12-23,10989.24
2011-01-04,14309.63
2011-01-05,-2162.009999999999
2011-01-06,38712.02
2011-01-07,26058.22
2011-01-09,15520.8
2011-01-10,22943.86
2011-01-11,67059.54000000001
2011-01-12,22719.81
2011-01-13,19519.07
2011-01-14,45977.64
2011-01-16,7114.11
2011-01-17,27771.28
2011-01-18,17112.599999999995
2011-01-19,24801.64
2011-01-20,19012.12
2011-01-21,30886.09
2011-01-23,10177.95
2011-01-24,24358.0
2011-01-25,27125.62
2011-01-26,18778.57
2011-01-27,22473.41
2011-01-28,18145.579999999998
2011-01-30,6456.44
2011-01-31,21217.24
2011-02-01,27932.86
2011-02-02,20042.12
2011-02-03,22824.05
2011-02-04,23712.55
2011-02-06,3457.11
2011-02-07,25124.64
2011-02-08,19737.67
2011-02-09,15531.28
2011-02-10,13246.62
2011-02-11,21263.81
2011-02-13,5535.4
2011-02-14,26056.43
2011-02-15,38874.97
2011-02-16,24473.32
2011-02-17,24747.73
2011-02-18,15678.88
2011-02-20,9575.49
2011-02-21,23880.43
2011-02-22,31990.84
2011-02-23,25738.66
2011-02-24,22425.92
2011-02-25,17563.21
2011-02-27,9473.05
2011-02-28,19895.78
2011-03-01,24296.87
2011-03-02,18296.45
2011-03-03,35241.37
2011-03-04,19071.54
2011-03-06,9630.28
2011-03-07,30121.74
2011-03-08,24530.88
2011-03-09,21587.71
2011-03-10,25401.3
2011-03-11,21664.97
2011-03-13,4089.54
2011-03-14,25622.74
2011-03-15,19504.32
2011-03-16,20837.0
2011-03-17,38058.19
2011-03-18,15460.56
2011-03-20,21450.75
2011-03-21,16340.27
2011-03-22,29578.9
2011-03-23,22979.11
2011-03-24,36096.1
2011-03-25,29535.19
2011-03-27,8929.03
2011-03-28,21455.35
2011-03-29,68938.06
2011-03-30,30590.59
2011-03-31,29980.14
2011-04-01,23633.72
2011-04-03,6878.1
2011-04-04,24145.579999999998
2011-04-05,28128.55
2011-04-06,17092.14
2011-04-07,17844.73
2011-04-08,22816.34
2011-04-10,9318.88
2011-04-11,21811.86
2011-04-12,24785.43
2011-04-13,23961.66
2011-04-14,35035.18
2011-04-15,26154.0
2011-04-17,12618.3
2011-04-18,31464.38
2011-04-19,22848.72
2011-04-20,28157.13
2011-04-21,31111.66
2011-04-26,29089.54
2011-04-27,25191.56
2011-04-28,20444.73
2011-05-01,6822.61
2011-05-03,26033.71
2011-05-04,27130.3
2011-05-05,28404.52
2011-05-06,35489.33
2011-05-08,18735.92
2011-05-09,26454.44
2011-05-10,42189.3
2011-05-11,32892.92
2011-05-12,60004.34
2011-05-13,30465.88
2011-05-15,9852.98
2011-05-16,26281.33
2011-05-17,51978.43
2011-05-18,33904.159999999996
2011-05-19,33319.11
2011-05-20,25921.75
2011-05-22,23936.22
2011-05-23,30254.09
2011-05-24,36459.71
2011-05-25,23788.15
2011-05-26,32795.34
2011-05-27,27426.42
2011-05-29,7136.3
2011-05-31,21172.1
2011-06-01,19522.25
2011-06-02,31556.82
2011-06-03,16508.55
2011-06-05,24953.35
2011-06-06,16398.82
2011-06-07,36969.85
2011-06-08,40497.84
2011-06-09,45060.61
2011-06-10,60907.450000000004
2011-06-12,12393.86
2011-06-13,19449.8
2011-06-14,39953.82
2011-06-15,46325.95
2011-06-16,33467.72
2011-06-17,20654.72
2011-06-19,22208.78
2011-06-20,31745.82
2011-06-21,22666.14
2011-06-22,20859.93
2011-06-23,23692.47
2011-06-24,8058.4
2011-06-26,6027.17
2011-06-27,16018.84
2011-06-28,33994.53
2011-06-29,20907.17
2011-06-30,43442.55
2011-07-01,12533.49
2011-07-03,5977.14
2011-07-04,42624.95
2011-07-05,38357.08
2011-07-06,25580.71
2011-07-07,30563.04
2011-07-08,25231.71
2011-07-10,5685.77
2011-07-11,21993.6
2011-07-12,24817.05
2011-07-13,10839.73
2011-07-14,31869.88
2011-07-15,13325.77
2011-07-17,17120.66
2011-07-18,27241.11
2011-07-19,49055.74
2011-07-20,29656.5
2011-07-21,31214.52
2011-07-22,19469.68
