Description,Category,IsLowercase
WHITE HANGING HEART T-LIGHT HOLDER,Color,False
WHITE METAL LANTERN,Color,False
CREAM CUPID HEARTS COAT HANGER,Other,False
RED WOOLLY HOTTIE WHITE HEART.,Color,False
SET 7 BABUSHKA NESTING BOXES,Other,False
GLASS STAR FROSTED T-LIGHT HOLDER,Other,False
HAND WARMER UNION JACK,Other,False
HAND WARMER RED POLKA DOT,Color,False
ASSORTED COLOUR BIRD ORNAMENT,Other,False
POPPY'S PLAYHOUSE BEDROOM ,Home Goods,False
POPPY'S PLAYHOUSE KITCHEN,Other,False
FELTCRAFT PRINCESS CHARLOTTE DOLL,Toys,False
IVORY KNITTED MUG COSY ,Other,False
BOX OF 6 ASSORTED COLOUR TEASPOONS,Other,False
BOX OF VINTAGE JIGSAW BLOCKS ,Toys,False
BOX OF VINTAGE ALPHABET BLOCKS,Toys,False
HOME BUILDING BLOCK WORD,Other,False
LOVE BUILDING BLOCK WORD,Other,False
RECIPE BOX WITH METAL HEART,Other,False
DOORMAT NEW ENGLAND,Other,False
JAM MAKING SET WITH JARS,Other,False
RED COAT RACK PARIS FASHION,Color,False
YELLOW COAT RACK PARIS FASHION,Color,False
BLUE COAT RACK PARIS FASHION,Color,False
BATH BUILDING BLOCK WORD,Other,False
ALARM CLOCK BAKELIKE PINK,Color,False
ALARM CLOCK BAKELIKE RED ,Color,False
ALARM CLOCK BAKELIKE GREEN,Color,False
PANDA AND BUNNIES STICKER SHEET,Other,False
STARS GIFT TAPE ,Other,False
INFLATABLE POLITICAL GLOBE ,Home Goods,False
VINTAGE HEADS AND TAILS CARD GAME ,Toys,False
SET/2 RED RETROSPOT TEA TOWELS ,Color,False
ROUND SNACK BOXES SET OF4 WOODLAND ,Other,False
SPACEBOY LUNCH BOX ,Other,False
LUNCH BOX I LOVE LONDON,Other,False
CIRCUS PARADE LUNCH BOX ,Other,False
CHARLOTTE BAG DOLLY GIRL DESIGN,"Toys, Accessories",False
RED TOADSTOOL LED NIGHT LIGHT,Color,False
 SET 2 TEA TOWELS I LOVE LONDON ,Other,False
VINTAGE SEASIDE JIGSAW PUZZLES,Toys,False
MINI JIGSAW CIRCUS PARADE ,Other,False
MINI JIGSAW SPACEBOY,Other,False
MINI PAINT SET VINTAGE ,Other,False
PAPER CHAIN KIT 50'S CHRISTMAS ,Other,False
EDWARDIAN PARASOL RED,Color,False
RETRO COFFEE MUGS ASSORTED,Other,False
SAVE THE PLANET MUG,Other,False
VINTAGE BILLBOARD DRINK ME MUG,Other,False
VINTAGE BILLBOARD LOVE/HATE MUG,Other,False
WOOD 2 DRAWER CABINET WHITE FINISH,Color,False
WOOD S/3 CABINET ANT WHITE FINISH,Color,False
WOODEN PICTURE FRAME WHITE FINISH,Color,False
WOODEN FRAME ANTIQUE WHITE ,Color,False
VICTORIAN SEWING BOX LARGE,Size,False
RED HANGING HEART T-LIGHT HOLDER,Color,False
JUMBO BAG PINK POLKADOT,"Accessories, Color",False
JUMBO  BAG BAROQUE BLACK WHITE,"Accessories, Color",False
JUMBO BAG CHARLIE AND LOLA TOYS,Accessories,False
STRAWBERRY CHARLOTTE BAG,Accessories,False
RED 3 PIECE RETROSPOT CUTLERY SET,Color,False
BLUE 3 PIECE POLKADOT CUTLERY SET,Color,False
SET/6 RED SPOTTY PAPER PLATES,Color,False
LUNCH BAG RED RETROSPOT,"Accessories, Color",False
STRAWBERRY LUNCH BOX WITH CUTLERY,Other,False
LUNCH BOX WITH CUTLERY RETROSPOT ,Other,False
PACK OF 72 RETROSPOT CAKE CASES,Other,False
PACK OF 60 DINOSAUR CAKE CASES,Other,False
PACK OF 60 PINK PAISLEY CAKE CASES,Color,False
60 TEATIME FAIRY CAKE CASES,Other,False
TOMATO CHARLIE+LOLA COASTER SET,Color,False
CHARLIE & LOLA WASTEPAPER BIN FLORA,Other,False
RED CHARLIE+LOLA PERSONAL DOORSIGN,Color,False
JUMBO STORAGE BAG SUKI,Accessories,False
JUMBO BAG PINK VINTAGE PAISLEY,"Accessories, Color",False
JAM MAKING SET PRINTED,Other,False
RETROSPOT TEA SET CERAMIC 11 PC ,Other,False
GIRLY PINK TOOL SET,Color,False
JUMBO SHOPPER VINTAGE RED PAISLEY,Color,False
WHITE SPOT RED CERAMIC DRAWER KNOB,Color,False
RED DRAWER KNOB ACRYLIC EDWARDIAN,Color,False
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,Other,False
PHOTO CLIP LINE,Other,False
FELT EGG COSY CHICKEN,Other,False
PIGGY BANK RETROSPOT ,Other,False
SKULL SHOULDER BAG,Accessories,False
YELLOW BREAKFAST CUP AND SAUCER,Color,False
PINK BREAKFAST CUP AND SAUCER ,Color,False
PAPER CHAIN KIT RETROSPOT,Other,False
SMALL HEART FLOWERS HOOK ,Size,False
TEA TIME DES TEA COSY,Other,False
FELT EGG COSY WHITE RABBIT ,Color,False
ZINC WILLIE WINKIE  CANDLE STICK,Other,False
CERAMIC CHERRY CAKE MONEY BANK,Other,False
RETROSPOT LARGE MILK JUG,Size,False
SET OF 6 FUNKY BEAKERS,Other,False
EDWARDIAN PARASOL BLACK,Color,False
EDWARDIAN PARASOL NATURAL,Other,False
CERAMIC STRAWBERRY CAKE MONEY BANK,Other,False
BLUE OWL SOFT TOY,Color,False
BALLOON ART MAKE YOUR OWN FLOWERS,Sports Equipment,False
GLASS CLOCHE SMALL,Size,False
GUMBALL MONOCHROME COAT RACK,Sports Equipment,False
DOORMAT FANCY FONT HOME SWEET HOME,Other,False
VINTAGE SNAKES & LADDERS,Other,False
CHOCOLATE CALCULATOR,Color,False
RECYCLING BAG RETROSPOT ,Accessories,False
TOY TIDY PINK POLKADOT,Color,False
ANTIQUE GLASS DRESSING TABLE POT,"Clothing, Home Goods",False
IVORY GIANT GARDEN THERMOMETER,Other,False
3 TIER CAKE TIN GREEN AND CREAM,Color,False
3 TIER CAKE TIN RED AND CREAM,Color,False
SET 3 WICKER OVAL BASKETS W LIDS,Other,False
SET OF 3 COLOURED  FLYING DUCKS,Color,False
WOOD BLACK BOARD ANT WHITE FINISH,Color,False
COLOUR GLASS T-LIGHT HOLDER HANGING,Other,False
HANGING METAL HEART LANTERN,Other,False
HANGING MEDINA LANTERN SMALL,Size,False
NATURAL SLATE HEART CHALKBOARD ,Other,False
HEART OF WICKER SMALL,Size,False
HEART OF WICKER LARGE,Size,False
WHITE LOVEBIRD LANTERN,Color,False
CLASSIC METAL BIRDCAGE PLANT HOLDER,Other,False
CREAM HEART CARD HOLDER,Other,False
ENAMEL FLOWER JUG CREAM,Other,False
ENAMEL FIRE BUCKET CREAM,Other,False
ENAMEL BREAD BIN CREAM,Other,False
JUMBO BAG DOLLY GIRL DESIGN,"Toys, Accessories",False
TRADITIONAL CHRISTMAS RIBBONS,Other,False
ORGANISER WOOD ANTIQUE WHITE ,Color,False
LUNCH BAG DOLLY GIRL DESIGN,"Toys, Accessories",False
WHITE WIRE EGG HOLDER,Color,False
JUMBO BAG RED RETROSPOT,"Accessories, Color",False
CHILLI LIGHTS,Other,False
LIGHT GARLAND BUTTERFILES PINK,Color,False
WOODEN OWLS LIGHT GARLAND ,Other,False
FAIRY TALE COTTAGE NIGHTLIGHT,Other,False
HOME SMALL WOOD LETTERS,Size,False
GINGHAM HEART  DOORSTOP RED,Color,False
FIVE HEART HANGING DECORATION,Other,False
ASSORTED BOTTLE TOP  MAGNETS ,Other,False
FRIDGE MAGNETS US DINER ASSORTED,Other,False
HOMEMADE JAM SCENTED CANDLES,Other,False
FRIDGE MAGNETS LES ENFANTS ASSORTED,Other,False
ROSE CARAVAN DOORSTOP,Other,False
5 HOOK HANGER MAGIC TOADSTOOL,Other,False
CHRISTMAS LIGHTS 10 REINDEER,Other,False
VINTAGE UNION JACK CUSHION COVER,Other,False
SET OF 3 GOLD FLYING DUCKS,Color,False
RED RETROSPOT UMBRELLA,Color,False
BLACK/BLUE POLKADOT UMBRELLA,Color,False
RED DINER WALL CLOCK,Color,False
BLUE DINER WALL CLOCK,Color,False
IVORY DINER WALL CLOCK,Other,False
LARGE HEART MEASURING SPOONS,"Accessories, Size",False
SMALL HEART MEASURING SPOONS,"Accessories, Size",False
JAM JAR WITH PINK LID,Color,False
JAM JAR WITH GREEN LID,Color,False
ROSE COTTAGE KEEPSAKE BOX ,Other,False
HANGING HEART ZINC T-LIGHT HOLDER,Other,False
PAPER CHAIN KIT VINTAGE CHRISTMAS,Other,False
DISCO BALL CHRISTMAS DECORATION,Sports Equipment,False
SMALL POPCORN HOLDER,Size,False
LARGE POPCORN HOLDER ,Size,False
SET/20 RED RETROSPOT PAPER NAPKINS ,Color,False
SET/6 RED SPOTTY PAPER CUPS,Color,False
POLKADOT RAIN HAT ,Other,False
DELUXE SEWING KIT ,Other,False
PHOTO CUBE,Other,False
PLASTERS IN TIN CIRCUS PARADE ,Other,False
PACK OF 12 PINK PAISLEY TISSUES ,Color,False
PACK OF 12 BLUE PAISLEY TISSUES ,Color,False
PACK OF 12 RED RETROSPOT TISSUES ,Color,False
PLASTERS IN TIN VINTAGE PAISLEY ,Other,False
PLASTERS IN TIN SKULLS,Other,False
3 STRIPEY MICE FELTCRAFT,Other,False
SET OF 6 SOLDIER SKITTLES,Other,False
TRADITIONAL WOODEN SKIPPING ROPE,Other,False
WOODEN BOX OF DOMINOES,Other,False
RUSTIC  SEVENTEEN DRAWER SIDEBOARD,Other,False
PARTY CONES CARNIVAL ASSORTED,Other,False
PARTY CONES CANDY ASSORTED,Other,False
PICNIC BASKET WICKER SMALL,Size,False
STAR DECORATION PAINTED ZINC ,Other,False
RETROSPOT LAMP,Home Goods,False
HAND WARMER SCOTTY DOG DESIGN,Other,False
HAND WARMER OWL DESIGN,Other,False
HAND WARMER RED RETROSPOT,Color,False
DOG BOWL CHASING BALL DESIGN,Sports Equipment,False
CLOTHES PEGS RETROSPOT PACK 24 ,Other,False
HAND OVER THE CHOCOLATE   SIGN ,Color,False
TRAVEL SEWING KIT,Other,False
BLACK HEART CARD HOLDER,Color,False
SMALL GLASS HEART TRINKET POT,Size,False
ALARM CLOCK BAKELIKE IVORY,Other,False
ALARM CLOCK BAKELIKE ORANGE,Color,False
HAND WARMER BIRD DESIGN,Other,False
IVORY EMBROIDERED QUILT ,Color,False
SET OF 3 BLACK FLYING DUCKS,Color,False
RED RETROSPOT MUG,Color,False
BABUSHKA LIGHTS STRING OF 10,Accessories,False
DOORMAT FAIRY CAKE,Other,False
STRAWBERRY CERAMIC TRINKET BOX,Other,False
PINK DOUGHNUT TRINKET POT ,Color,False
SILK PURSE BABUSHKA PINK,Color,False
BOUDOIR SQUARE TISSUE BOX,Other,False
SKULLS SQUARE TISSUE BOX,Other,False
PHOTO FRAME CORNICE,Other,False
SILK PURSE BABUSHKA RED,Color,False
PICTURE DOMINOES,Other,False
S/6 SEW ON CROCHET FLOWERS,Other,False
SCANDINAVIAN REDS RIBBONS,Color,False
BALLOONS  WRITING SET ,Sports Equipment,False
LAVENDER INCENSE IN TIN,Other,False
TV DINNER TRAY VINTAGE PAISLEY,Other,False
SET OF 4 ENGLISH ROSE PLACEMATS,Other,False
SET OF 4 ENGLISH ROSE COASTERS,Other,False
TRIPLE PHOTO FRAME CORNICE ,Other,False
FAMILY PHOTO FRAME CORNICE,Other,False
MIRRORED DISCO BALL ,"Sports Equipment, Color",False
DISCO BALL ROTATOR BATTERY OPERATED,Sports Equipment,False
SILVER LOOKING MIRROR,Other,False
DOORMAT TOPIARY,Other,False
GROW YOUR OWN BASIL IN ENAMEL MUG,Other,False
SET/10 PINK POLKADOT PARTY CANDLES,Color,False
SET 20 NAPKINS FAIRY CAKES DESIGN ,Other,False
SET OF 6 T-LIGHTS SNOWMEN,Other,False
SET OF 6 T-LIGHTS SANTA,Other,False
SET OF 9 HEART SHAPED BALLOONS,Sports Equipment,False
SANDWICH BATH SPONGE,Other,False
APPLE BATH SPONGE,Other,False
STRAWBERRY BATH SPONGE ,Other,False
BLACK PIRATE TREASURE CHEST,Color,False
STAR PORTABLE TABLE LIGHT ,Home Goods,False
SNOWFLAKE PORTABLE TABLE LIGHT ,Home Goods,False
PINK OVAL JEWELLED MIRROR,Color,False
RETROSPOT CIGAR BOX MATCHES ,Other,False
COSY HOUR GIANT TUBE MATCHES,Other,False
JAZZ HEARTS PURSE NOTEBOOK,Other,False
CANDLEHOLDER PINK HANGING HEART,Color,False
ASSORTED COLOUR MINI CASES,Other,False
LUNCH BAG SPACEBOY DESIGN ,Accessories,False
LUNCH BAG WOODLAND,Accessories,False
LUNCH BAG PINK POLKADOT,"Accessories, Color",False
GUMBALL COAT RACK,Sports Equipment,False
BLUE NEW BAROQUE CANDLESTICK CANDLE,Color,False
PINK NEW BAROQUECANDLESTICK CANDLE,Color,False
FAIRY CAKE FLANNEL ASSORTED COLOUR,Other,False
BREAD BIN DINER STYLE PINK,Color,False
TEA TIME TABLE CLOTH,Home Goods,False
HEART IVORY TRELLIS SMALL,Size,False
PINK DRAWER KNOB ACRYLIC EDWARDIAN,Color,False
GREEN DRAWER KNOB ACRYLIC EDWARDIAN,Color,False
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,Color,False
SET 6 FOOTBALL CELEBRATION CANDLES,Sports Equipment,False
