InvoiceNo;StockCode;Description;Quantity_returned;InvoiceDate;UnitPrice;CustomerID;Country;Category;Return Rate;Quantity_sold
C536383;35004C;SET OF 3 COLOURED  FLYING DUCKS;-1;12/01/2010 09:49;4.65;15311.0;United Kingdom;Color, Home Goods;-0.27932960893854747;358
C536391;22556;PLASTERS IN TIN CIRCUS PARADE ;-12;12/01/2010 10:24;1.65;17548.0;United Kingdom;Kitchen Appliances, Home Goods;-0.19828155981493722;6052
C536391;21984;PACK OF 12 PINK PAISLEY TISSUES ;-24;12/01/2010 10:24;0.29;17548.0;United Kingdom;Color, Home Goods, Stationary;-0.7031936712569586;3413
C536391;21983;PACK OF 12 BLUE PAISLEY TISSUES ;-24;12/01/2010 10:24;0.29;17548.0;United Kingdom;Color, Home Goods, Stationary;-1.0540184453227932;2277
C536391;21980;PACK OF 12 RED RETROSPOT TISSUES ;-24;12/01/2010 10:24;0.29;17548.0;United Kingdom;Kitchen Appliances, Color, Home Goods, Stationary;-0.3661327231121282;6555
C536391;22557;PLASTERS IN TIN VINTAGE PAISLEY ;-12;12/01/2010 10:24;1.65;17548.0;United Kingdom;Kitchen Appliances, Home Goods, Stationary;-0.2556455048998722;4694
C536391;22553;PLASTERS IN TIN SKULLS;-24;12/01/2010 10:24;1.65;17548.0;United Kingdom;Kitchen Appliances, Home Goods;-0.5702066999287242;4209
C536506;22960;JAM MAKING SET WITH JARS;-6;12/01/2010 12:38;4.25;17897.0;United Kingdom;Home Goods;-0.07083825265643448;8470
C536543;22632;HAND WARMER RED RETROSPOT;-1;12/01/2010 14:30;2.1;17841.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.023121387283236993;4325
C536543;22355;CHARLOTTE BAG SUKI DESIGN;-2;12/01/2010 14:30;0.85;17841.0;United Kingdom;Home Goods, Accessories;-0.01110987668036885;18002
C536548;22244;3 HOOK HANGER MAGIC GARDEN;-4;12/01/2010 14:33;1.95;12472.0;Germany;Home Goods;-0.2368265245707519;1689
C536548;22242;5 HOOK HANGER MAGIC TOADSTOOL;-5;12/01/2010 14:33;1.65;12472.0;Germany;Home Goods;-0.825082508250825;606
C536548;20914;SET/5 RED RETROSPOT LID GLASS BOWLS;-1;12/01/2010 14:33;2.95;12472.0;Germany;Kitchen Appliances, Color, Home Goods;-0.016730801405387317;5977
C536548;22892;SET OF SALT AND PEPPER TOADSTOOLS;-7;12/01/2010 14:33;1.25;12472.0;Germany;Home Goods;-0.2938706968933669;2382
C536548;22654;DELUXE SEWING KIT ;-1;12/01/2010 14:33;5.95;12472.0;Germany;Stationary;-0.0725163161711385;1379
C536548;22767;TRIPLE PHOTO FRAME CORNICE ;-2;12/01/2010 14:33;9.95;12472.0;Germany;Other;-0.2706359945872801;739
C536548;22333;RETROSPOT PARTY BAG + STICKER SET;-1;12/01/2010 14:33;1.65;12472.0;Germany;Kitchen Appliances, Accessories, Home Goods, Stationary;-0.022665457842248413;4412
C536548;22245;HOOK 1 HANGER MAGIC GARDEN;-2;12/01/2010 14:33;0.85;12472.0;Germany;Home Goods;-0.1589825119236884;1258
C536548;22077;6 RIBBONS RUSTIC CHARM;-6;12/01/2010 14:33;1.65;12472.0;Germany;Other;-0.06558093780741064;9149
C536548;22631;CIRCUS PARADE LUNCH BOX ;-1;12/01/2010 14:33;1.95;12472.0;Germany;Other;-0.027389756231169543;3651
C536548;22168;ORGANISER WOOD ANTIQUE WHITE ;-2;12/01/2010 14:33;8.5;12472.0;Germany;Color;-1.5267175572519083;131
C536548;21218;RED SPOTTY BISCUIT TIN;-3;12/01/2010 14:33;3.75;12472.0;Germany;Kitchen Appliances, Color, Home Goods;-0.12583892617449663;2384
C536548;22580;ADVENT CALENDAR GINGHAM SACK;-4;12/01/2010 14:33;5.95;12472.0;Germany;Other;-0.3184713375796179;1256
C536606;20914;SET/5 RED RETROSPOT LID GLASS BOWLS;-2;12/02/2010 09:10;2.95;14092.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.033461602810774635;5977
C536622;22752;SET 7 BABUSHKA NESTING BOXES;-2;12/02/2010 10:37;8.5;12471.0;Germany;Kitchen Appliances, Home Goods;-0.12004801920768307;1666
