InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country;Category;Return Rate
C536383;35004C;SET OF 3 COLOURED  FLYING DUCKS;-1;12/01/2010 09:49;4.65;15311.0;United Kingdom;Color, Home Goods;-0.035211267605633804
C536391;22556;PLASTERS IN TIN CIRCUS PARADE ;-12;12/01/2010 10:24;1.65;17548.0;United Kingdom;Kitchen Appliances, Home Goods;-1.7241379310344827
C536391;21984;PACK OF 12 PINK PAISLEY TISSUES ;-24;12/01/2010 10:24;0.29;17548.0;United Kingdom;Color, Home Goods, Stationary;-0.06596850004123031
C536391;21983;PACK OF 12 BLUE PAISLEY TISSUES ;-24;12/01/2010 10:24;0.29;17548.0;United Kingdom;Color, Home Goods, Stationary;-2.4024024024024024
C536391;21980;PACK OF 12 RED RETROSPOT TISSUES ;-24;12/01/2010 10:24;0.29;17548.0;United Kingdom;Kitchen Appliances, Color, Home Goods, Stationary;-20.869565217391305
C536391;22557;PLASTERS IN TIN VINTAGE PAISLEY ;-12;12/01/2010 10:24;1.65;17548.0;United Kingdom;Kitchen Appliances, Home Goods, Stationary;-0.681044267877412
C536391;22553;PLASTERS IN TIN SKULLS;-24;12/01/2010 10:24;1.65;17548.0;United Kingdom;Kitchen Appliances, Home Goods;-800.0
C536506;22960;JAM MAKING SET WITH JARS;-6;12/01/2010 12:38;4.25;17897.0;United Kingdom;Home Goods;-600.0
C536543;22632;HAND WARMER RED RETROSPOT;-1;12/01/2010 14:30;2.1;17841.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-6.666666666666667
C536543;22355;CHARLOTTE BAG SUKI DESIGN;-2;12/01/2010 14:30;0.85;17841.0;United Kingdom;Home Goods, Accessories;-2.898550724637681
C536548;22244;3 HOOK HANGER MAGIC GARDEN;-4;12/01/2010 14:33;1.95;12472.0;Germany;Home Goods;-400.0
C536548;22242;5 HOOK HANGER MAGIC TOADSTOOL;-5;12/01/2010 14:33;1.65;12472.0;Germany;Home Goods;-0.9523809523809524
C536548;20914;SET/5 RED RETROSPOT LID GLASS BOWLS;-1;12/01/2010 14:33;2.95;12472.0;Germany;Kitchen Appliances, Color, Home Goods;-0.07639419404125286
C536548;22892;SET OF SALT AND PEPPER TOADSTOOLS;-7;12/01/2010 14:33;1.25;12472.0;Germany;Home Goods;-1.8469656992084433
C536548;22654;DELUXE SEWING KIT ;-1;12/01/2010 14:33;5.95;12472.0;Germany;Stationary;-0.23255813953488372
C536548;22767;TRIPLE PHOTO FRAME CORNICE ;-2;12/01/2010 14:33;9.95;12472.0;Germany;Other;-1.834862385321101
C536548;22333;RETROSPOT PARTY BAG + STICKER SET;-1;12/01/2010 14:33;1.65;12472.0;Germany;Kitchen Appliances, Accessories, Home Goods, Stationary;-0.5813953488372093
C536548;22245;HOOK 1 HANGER MAGIC GARDEN;-2;12/01/2010 14:33;0.85;12472.0;Germany;Home Goods;-0.3205128205128205
C536548;22077;6 RIBBONS RUSTIC CHARM;-6;12/01/2010 14:33;1.65;12472.0;Germany;Other;-0.4424778761061947
C536548;22631;CIRCUS PARADE LUNCH BOX ;-1;12/01/2010 14:33;1.95;12472.0;Germany;Other;-0.17921146953405018
C536548;22168;ORGANISER WOOD ANTIQUE WHITE ;-2;12/01/2010 14:33;8.5;12472.0;Germany;Color;-3.508771929824561
C536548;21218;RED SPOTTY BISCUIT TIN;-3;12/01/2010 14:33;3.75;12472.0;Germany;Kitchen Appliances, Color, Home Goods;-2.0
C536548;20957;PORCELAIN HANGING BELL SMALL;-1;12/01/2010 14:33;1.45;12472.0;Germany;Size, Home Goods;-0.1779359430604982
C536548;22580;ADVENT CALENDAR GINGHAM SACK;-4;12/01/2010 14:33;5.95;12472.0;Germany;Other;-16.666666666666664
C536606;20914;SET/5 RED RETROSPOT LID GLASS BOWLS;-2;12/02/2010 09:10;2.95;14092.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.04827419744146754
C536622;22752;SET 7 BABUSHKA NESTING BOXES;-2;12/02/2010 10:37;8.5;12471.0;Germany;Kitchen Appliances, Home Goods;-0.07042253521126761
C536625;22839;3 TIER CAKE TIN GREEN AND CREAM;-2;12/02/2010 10:46;14.95;14766.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.4357298474945534
C536642;21463;MIRRORED DISCO BALL ;-1;12/02/2010 11:56;5.95;14390.0;United Kingdom;Color, Sports Equipment, Home Goods;-100.0
C536734;22780;LIGHT GARLAND BUTTERFILES PINK;-4;12/02/2010 12:50;4.25;16042.0;United Kingdom;Color, Home Goods;-0.6622516556291391
C536734;85048;15CM CHRISTMAS GLASS BALL 20 LIGHTS;-1;12/02/2010 12:50;7.95;16042.0;United Kingdom;Seasonal products, Sports Equipment, Home Goods;-2.0408163265306123
C536737;22798;ANTIQUE GLASS DRESSING TABLE POT;-2;12/02/2010 13:05;2.95;15922.0;United Kingdom;Clothing, Home Goods;-0.20429009193054137
C536757;84347;ROTATING SILVER ANGELS T-LIGHT HLDR;-9360;12/02/2010 14:23;0.03;15838.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;
C536758;21314;SMALL GLASS HEART TRINKET POT;-1;12/02/2010 14:25;2.1;13767.0;United Kingdom;Size, Home Goods;
C536760;22175;PINK OWL SOFT TOY;-1;12/02/2010 14:29;2.95;17547.0;United Kingdom;Color;
C536760;22273;FELTCRAFT DOLL MOLLY;-3;12/02/2010 14:29;2.95;17547.0;United Kingdom;Toys, Home Goods, Stationary;
C536807;22501;PICNIC BASKET WICKER LARGE;-2;12/02/2010 16:45;9.95;15834.0;United Kingdom;Size;
C536807;22778;GLASS CLOCHE SMALL;-1;12/02/2010 16:45;3.95;15834.0;United Kingdom;Size, Home Goods;
C536812;22578;WOODEN STAR CHRISTMAS SCANDINAVIAN;-36;12/02/2010 16:58;0.85;16546.0;United Kingdom;Seasonal products, Home Goods;
C536812;22574;HEART WOODEN CHRISTMAS DECORATION;-192;12/02/2010 16:58;0.72;16546.0;United Kingdom;Seasonal products, Home Goods;
C536812;22593;CHRISTMAS GINGHAM STAR;-144;12/02/2010 16:58;0.72;16546.0;United Kingdom;Seasonal products, Home Goods;
C536812;22595;CHRISTMAS GINGHAM HEART;-144;12/02/2010 16:58;0.72;16546.0;United Kingdom;Seasonal products, Home Goods;
C536812;22588;CARD HOLDER GINGHAM HEART;-192;12/02/2010 16:58;2.1;16546.0;United Kingdom;Kitchen Appliances, Home Goods, Stationary;
C536812;22130;PARTY CONE CHRISTMAS DECORATION ;-144;12/02/2010 16:58;0.72;16546.0;United Kingdom;Seasonal products, Home Goods;
C536814;21527;RED RETROSPOT TRADITIONAL TEAPOT ;-2;12/02/2010 17:03;7.95;13958.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C536814;72799E;IVORY PILLAR CANDLE SILVER FLOCK;-6;12/02/2010 17:03;2.95;13958.0;United Kingdom;Home Goods, Accessories;
C536814;85066;CREAM SWEETHEART MINI CHEST;-2;12/02/2010 17:03;12.75;13958.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;
C536814;21586;KINGS CHOICE GIANT TUBE MATCHES;-12;12/02/2010 17:03;2.55;13958.0;United Kingdom;Other;
C536814;21258;VICTORIAN SEWING BOX LARGE;-1;12/02/2010 17:03;12.75;13958.0;United Kingdom;Size;
C536815;85175;CACTI T-LIGHT CANDLES;-1;12/02/2010 17:05;0.42;14443.0;United Kingdom;Home Goods;
