InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,Month
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-12-01 09:49:00,4.65,15311.0,United Kingdom,"Color, Home Goods",2010-12
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,"Kitchen Appliances, Home Goods",2010-12
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,"Color, Home Goods, Stationary",2010-12
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,"Color, Home Goods, Stationary",2010-12
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,"Kitchen Appliances, Color, Home Goods, Stationary",2010-12
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,"Kitchen Appliances, Home Goods, Stationary",2010-12
C536391,22553,PLASTERS IN TIN SKULLS,-24,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,"Kitchen Appliances, Home Goods",2010-12
C536506,22960,JAM MAKING SET WITH JARS,-6,2010-12-01 12:38:00,4.25,17897.0,United Kingdom,Home Goods,2010-12
C536543,22632,HAND WARMER RED RETROSPOT,-1,2010-12-01 14:30:00,2.1,17841.0,United Kingdom,"Kitchen Appliances, Color, Home Goods",2010-12
C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,2010-12-01 14:30:00,0.85,17841.0,United Kingdom,"Home Goods, Accessories",2010-12
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,2010-12-01 14:33:00,1.95,12472.0,Germany,Home Goods,2010-12
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,2010-12-01 14:33:00,1.65,12472.0,Germany,Home Goods,2010-12
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,2010-12-01 14:33:00,2.95,12472.0,Germany,"Kitchen Appliances, Color, Home Goods",2010-12
C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,2010-12-01 14:33:00,1.25,12472.0,Germany,Home Goods,2010-12
C536548,22654,DELUXE SEWING KIT ,-1,2010-12-01 14:33:00,5.95,12472.0,Germany,Stationary,2010-12
