Description;Return Rate
 50'S CHRISTMAS GIFT BAG LARGE;-0.10454783063251437
 DOLLY GIRL BEAKER;-0.14297385620915032
 OVAL WALL MIRROR DIAMANTE ;-0.5364806866952789
 SET 2 TEA TOWELS I LOVE LONDON ;-0.0958887690279276
 SPACEBOY BABY GIFT SET;-0.4056795131845841
 TRELLIS COAT RACK;-0.4424778761061947
10 COLOUR SPACEBOY PEN;-0.33635794743429287
12 COLOURED PARTY BALLOONS;-0.936768149882904
12 EGG HOUSE PAINTED WOOD;-0.6756756756756757
12 IVORY ROSE PEG PLACE SETTINGS;-0.10330578512396695
12 MESSAGE CARDS WITH ENVELOPES;-0.05750431282346176
12 PENCIL SMALL TUBE WOODLAND;-0.0444247001332741
12 PENCILS SMALL TUBE RED RETROSPOT;-0.4601226993865031
12 PENCILS SMALL TUBE SKULL;-2.9401070074281854
12 PENCILS TALL TUBE POSY;-0.6335797254487857
12 PENCILS TALL TUBE RED RETROSPOT;-0.08518924181574784
12 PENCILS TALL TUBE SKULLS;-0.06195786864931846
12 PENCILS TALL TUBE WOODLAND;-0.24271844660194175
12 PINK HEN+CHICKS IN BASKET;-17.142857142857142
12 PINK ROSE PEG PLACE SETTINGS;-1.9047619047619049
15CM CHRISTMAS GLASS BALL 20 LIGHTS;-0.14139881362946613
16 PIECE CUTLERY SET PANTRY DESIGN;-0.3968253968253968
2 DAISIES HAIR COMB;-50.0
2 PICTURE BOOK EGGS EASTER CHICKS;-0.5882352941176471
20 DOLLY PEGS RETROSPOT;-0.2127659574468085
200 BENDY SKULL STRAWS;-0.15151515151515152
3 DRAWER ANTIQUE WHITE WOOD CABINET;-1.1697574893009985
3 GARDENIA MORRIS BOXED CANDLES;-0.4694835680751173
3 HEARTS HANGING DECORATION RUSTIC;-0.0908958696916812
3 HOOK HANGER MAGIC GARDEN;-0.11841326228537595
3 HOOK PHOTO SHELF ANTIQUE WHITE;-0.38777135339126817
3 PIECE SPACEBOY COOKIE CUTTER SET;-0.07651109410864576
3 RAFFIA RIBBONS 50'S CHRISTMAS ;-0.47732696897374705
3 ROSE MORRIS BOXED CANDLES;-0.3593890386343217
