Category,InvoiceDate,Quantity,TotalValue
Financial Adjustment,2011-08-12 14:51,1,-11062.06
Financial Adjustment,2011-08-12 14:52,1,-11062.06
Manual Adjustment,2010-12-03 12:08,35,0.0
Manual Adjustment,2010-12-03 16:50,-30,0.0
Manual Adjustment,2010-12-05 14:02,1,0.0
Manual Adjustment,2010-12-06 15:35,-20,0.0
Manual Adjustment,2010-12-06 15:36,-35,0.0
Manual Adjustment,2010-12-06 16:10,-43,0.0
Manual Adjustment,2010-12-07 11:48,114,0.0
Manual Adjustment,2010-12-07 15:29,30,0.0
Manual Adjustment,2010-12-07 15:31,1,0.0
Manual Adjustment,2010-12-09 14:09,1,0.0
Manual Adjustment,2010-12-09 14:10,-13,0.0
Manual Adjustment,2010-12-09 14:48,-723,0.0
Manual Adjustment,2010-12-09 17:25,-200,0.0
Manual Adjustment,2010-12-10 14:59,30,0.0
Manual Adjustment,2010-12-14 15:13,20,0.0
Manual Adjustment,2010-12-14 15:29,3,0.0
Manual Adjustment,2010-12-16 14:36,4,0.0
Manual Adjustment,2010-12-20 10:36,752,0.0
Manual Adjustment,2010-12-20 14:33,53,0.0
Manual Adjustment,2010-12-21 13:45,10,0.0
Manual Adjustment,2010-12-21 15:40,5,0.0
Manual Adjustment,2010-12-22 14:41,133,0.0
Manual Adjustment,2011-01-04 11:13,-100,0.0
Manual Adjustment,2011-01-04 11:14,-100,0.0
Manual Adjustment,2011-01-04 16:53,-106,0.0
Manual Adjustment,2011-01-06 15:11,1,0.0
Manual Adjustment,2011-01-06 15:12,1,0.0
Manual Adjustment,2011-01-06 16:41,48,0.0
Manual Adjustment,2011-01-10 10:04,-29,0.0
Manual Adjustment,2011-01-10 10:36,-2600,0.0
Manual Adjustment,2011-01-10 12:14,-990,0.0
Manual Adjustment,2011-01-10 15:00,-290,0.0
Manual Adjustment,2011-01-10 16:04,144,0.0
Manual Adjustment,2011-01-10 16:05,66,0.0
Manual Adjustment,2011-01-11 14:42,6,0.0
Manual Adjustment,2011-01-12 15:04,-310,0.0
