category;InvoiceDate;Quantity;UnitPrice
Financial Adjustment;12/08/2011 14:51;1;-11062.06
Financial Adjustment;12/08/2011 14:52;1;-11062.06
Manual Adjustment;03/12/2010 12:08;35;0.0
Manual Adjustment;03/12/2010 16:50;-30;0.0
Manual Adjustment;05/12/2010 14:02;1;0.0
Manual Adjustment;06/12/2010 15:35;-20;0.0
Manual Adjustment;06/12/2010 15:36;-35;0.0
Manual Adjustment;06/12/2010 16:10;-43;0.0
Manual Adjustment;07/12/2010 11:48;114;0.0
Manual Adjustment;07/12/2010 15:29;30;0.0
Manual Adjustment;07/12/2010 15:31;1;0.0
Manual Adjustment;09/12/2010 14:09;1;0.0
Manual Adjustment;09/12/2010 14:10;-13;0.0
Manual Adjustment;09/12/2010 14:48;-723;0.0
Manual Adjustment;09/12/2010 17:25;-200;0.0
Manual Adjustment;10/12/2010 14:59;30;0.0
Manual Adjustment;14/12/2010 15:13;20;0.0
Manual Adjustment;14/12/2010 15:29;3;0.0
Manual Adjustment;16/12/2010 14:36;4;0.0
Manual Adjustment;20/12/2010 10:36;752;0.0
Manual Adjustment;20/12/2010 14:33;53;0.0
Manual Adjustment;21/12/2010 13:45;10;0.0
Manual Adjustment;21/12/2010 15:40;5;0.0
Manual Adjustment;22/12/2010 14:41;133;0.0
Manual Adjustment;04/01/2011 11:13;-100;0.0
Manual Adjustment;04/01/2011 11:14;-100;0.0
Manual Adjustment;04/01/2011 16:53;-106;0.0
Manual Adjustment;06/01/2011 15:11;1;0.0
Manual Adjustment;06/01/2011 15:12;1;0.0
Manual Adjustment;06/01/2011 16:41;48;0.0
Manual Adjustment;10/01/2011 10:04;-29;0.0
Manual Adjustment;10/01/2011 10:36;-2600;0.0
Manual Adjustment;10/01/2011 12:14;-990;0.0
Manual Adjustment;10/01/2011 15:00;-290;0.0
Manual Adjustment;10/01/2011 16:04;144;0.0
Manual Adjustment;10/01/2011 16:05;66;0.0
Manual Adjustment;11/01/2011 14:42;6;0.0
Manual Adjustment;12/01/2011 15:04;-310;0.0
Manual Adjustment;13/01/2011 15:10;1;0.0
Manual Adjustment;20/01/2011 15:41;-1400;0.0
Manual Adjustment;20/01/2011 15:42;-300;0.0
Manual Adjustment;24/01/2011 10:54;-57;0.0
Manual Adjustment;26/01/2011 13:10;-59;0.0
Manual Adjustment;27/01/2011 12:47;-20;0.0
Manual Adjustment;01/02/2011 11:47;-207;0.0
Manual Adjustment;04/02/2011 16:06;-1430;0.0
Manual Adjustment;04/02/2011 16:07;-392;0.0
Manual Adjustment;04/02/2011 16:08;-390;0.0
Manual Adjustment;10/02/2011 13:08;16;0.0
Manual Adjustment;14/02/2011 09:44;-64;0.0
Manual Adjustment;18/02/2011 13:54;-741;0.0
Manual Adjustment;22/02/2011 12:37;-400;0.0
Manual Adjustment;28/02/2011 13:31;4;0.0
Manual Adjustment;28/02/2011 14:19;87;0.0
Manual Adjustment;01/03/2011 10:32;-15;0.0
Manual Adjustment;02/03/2011 12:03;-5;0.0
Manual Adjustment;03/03/2011 15:03;-150;0.0
Manual Adjustment;07/03/2011 13:56;-154;0.0
Manual Adjustment;07/03/2011 15:18;34;0.0
Manual Adjustment;08/03/2011 13:07;-3000;0.0
Manual Adjustment;08/03/2011 15:55;-19;0.0
Manual Adjustment;08/03/2011 17:21;-675;0.0
Manual Adjustment;08/03/2011 17:23;-600;0.0
Manual Adjustment;08/03/2011 17:27;-555;0.0
Manual Adjustment;08/03/2011 17:29;-975;0.0
Manual Adjustment;08/03/2011 17:31;-1800;0.0
Manual Adjustment;09/03/2011 14:50;-1121;0.0
Manual Adjustment;09/03/2011 14:52;-27;0.0
Manual Adjustment;09/03/2011 15:07;-541;0.0
Manual Adjustment;09/03/2011 15:08;-1277;0.0
Manual Adjustment;09/03/2011 16:33;-197;0.0
Manual Adjustment;09/03/2011 16:34;-300;0.0
Manual Adjustment;09/03/2011 16:35;2970;0.0
Manual Adjustment;09/03/2011 16:37;-1100;0.0
Manual Adjustment;09/03/2011 16:39;-80;0.0
Manual Adjustment;09/03/2011 16:42;-63;0.0
Manual Adjustment;09/03/2011 16:43;-100;0.0
Manual Adjustment;09/03/2011 17:02;-230;0.0
Manual Adjustment;09/03/2011 17:25;-5368;0.0
Manual Adjustment;10/03/2011 13:26;-259;0.0
Manual Adjustment;11/03/2011 16:21;130;0.0
Manual Adjustment;11/03/2011 16:24;-178;0.0
Manual Adjustment;11/03/2011 16:25;170;0.0
Manual Adjustment;11/03/2011 16:27;-110;0.0
Manual Adjustment;18/03/2011 11:02;70;0.0
Manual Adjustment;22/03/2011 11:45;-323;0.0
Manual Adjustment;22/03/2011 11:47;-230;0.0
Manual Adjustment;22/03/2011 11:51;-450;0.0
Manual Adjustment;22/03/2011 12:33;-232;0.0
Manual Adjustment;22/03/2011 16:54;1;0.0
Manual Adjustment;23/03/2011 10:25;36;0.0
Manual Adjustment;23/03/2011 17:27;-524;0.0
Manual Adjustment;23/03/2011 17:28;-2472;0.0
Manual Adjustment;24/03/2011 13:57;13;0.0
Manual Adjustment;24/03/2011 17:51;100;0.0
Manual Adjustment;28/03/2011 15:11;-40;0.0
Manual Adjustment;29/03/2011 09:36;-100;0.0
Manual Adjustment;30/03/2011 12:45;5;0.0
Manual Adjustment;30/03/2011 16:44;-60;0.0
Manual Adjustment;30/03/2011 16:45;-690;0.0
Manual Adjustment;30/03/2011 17:18;-39;0.0
Manual Adjustment;30/03/2011 17:21;-25;0.0
Manual Adjustment;01/04/2011 11:53;-32;0.0
Manual Adjustment;04/04/2011 14:42;2;0.0
Manual Adjustment;05/04/2011 14:34;-26;0.0
Manual Adjustment;06/04/2011 11:14;1;0.0
Manual Adjustment;08/04/2011 11:56;-12;0.0
Manual Adjustment;08/04/2011 16:03;-1479;0.0
Manual Adjustment;08/04/2011 16:56;-576;0.0
Manual Adjustment;08/04/2011 17:05;-750;0.0
Manual Adjustment;12/04/2011 14:30;-6;0.0
Manual Adjustment;13/04/2011 11:16;-43;0.0
Manual Adjustment;13/04/2011 12:55;-1;0.0
Manual Adjustment;13/04/2011 12:57;-6;0.0
Manual Adjustment;13/04/2011 13:05;-93;0.0
Manual Adjustment;14/04/2011 14:44;-1;0.0
Manual Adjustment;14/04/2011 18:57;1;0.0
Manual Adjustment;18/04/2011 13:18;1300;0.0
Manual Adjustment;20/04/2011 11:53;-150;0.0
Manual Adjustment;20/04/2011 14:48;-65;0.0
Manual Adjustment;21/04/2011 12:39;-68;0.0
Manual Adjustment;21/04/2011 14:29;-25;0.0
Manual Adjustment;21/04/2011 15:55;3;0.0
Manual Adjustment;21/04/2011 15:56;14;0.0
Manual Adjustment;21/04/2011 16:14;84;0.0
Manual Adjustment;21/04/2011 16:15;2;0.0
Manual Adjustment;21/04/2011 16:16;2;0.0
Manual Adjustment;21/04/2011 16:18;-2;0.0
Manual Adjustment;26/04/2011 11:19;-210;0.0
Manual Adjustment;27/04/2011 11:48;41;0.0
Manual Adjustment;27/04/2011 11:49;-53;0.0
Manual Adjustment;27/04/2011 14:55;-18;0.0
Manual Adjustment;27/04/2011 14:56;2;0.0
Manual Adjustment;27/04/2011 15:31;-9;0.0
Manual Adjustment;27/04/2011 15:47;13;0.0
Manual Adjustment;27/04/2011 16:01;-4;0.0
Manual Adjustment;03/05/2011 14:35;-11;0.0
Manual Adjustment;04/05/2011 10:25;-19;0.0
Manual Adjustment;04/05/2011 13:23;-1512;0.0
Manual Adjustment;06/05/2011 13:25;100;0.0
Manual Adjustment;06/05/2011 13:28;100;0.0
Manual Adjustment;06/05/2011 13:29;100;0.0
Manual Adjustment;06/05/2011 13:59;100;0.0
Manual Adjustment;06/05/2011 15:43;6;0.0
Manual Adjustment;09/05/2011 10:24;-30;0.0
Manual Adjustment;09/05/2011 13:05;-360;0.0
Manual Adjustment;11/05/2011 10:48;-2376;0.0
Manual Adjustment;12/05/2011 15:21;4;0.0
Manual Adjustment;13/05/2011 13:58;-160;0.0
Manual Adjustment;16/05/2011 16:42;-786;0.0
Manual Adjustment;16/05/2011 16:47;-60;0.0
Manual Adjustment;16/05/2011 16:48;-21;0.0
Manual Adjustment;16/05/2011 17:07;-590;0.0
Manual Adjustment;16/05/2011 17:09;-40;0.0
Manual Adjustment;17/05/2011 12:06;192;0.0
Manual Adjustment;17/05/2011 14:35;73;0.0
Manual Adjustment;17/05/2011 15:27;44;0.0
Manual Adjustment;18/05/2011 16:18;1;0.0
Manual Adjustment;20/05/2011 14:13;80;0.0
Manual Adjustment;23/05/2011 09:26;-4;0.0
