sales_date,gross_sales,returns,net_sales
01/12/2010,58960.79,-325.23,58635.56
02/12/2010,47748.38,-1541.1,46207.28
03/12/2010,46943.71,-1323.25,45620.46
05/12/2010,31774.95,-391,31383.95
06/12/2010,54830.46,-970.28,53860.18
07/12/2010,99618.2,-54559.15,45059.05
08/12/2010,45389.98,-1200.14,44189.84
09/12/2010,53586.18,-1054.05,52532.13
10/12/2010,59182.92,-1778.01,57404.91
12/12/2010,17329.07,-88.15,17240.92
13/12/2010,38006.71,-2627.37,35379.34
14/12/2010,45254.73,-2411.44,42843.29
15/12/2010,30444.62,-1000.93,29443.69
16/12/2010,49352.9,-1018.55,48334.35
17/12/2010,45418.33,-1884.14,43534.19
19/12/2010,7534.91,-17.6,7517.31
20/12/2010,26789.13,-2047.38,24741.75
21/12/2010,47304.09,-206.15,47097.94
22/12/2010,6199.97,-65.4,6134.57
23/12/2010,12076.11,-279.8,11796.31
04/01/2011,16026.08,-1075.6,14950.48
05/01/2011,32634.47,-34200.7,-1566.23
06/01/2011,40382.85,-2990.11,37392.74
07/01/2011,28836.59,-1603.45,27233.14
09/01/2011,15778.2,-67.4,15710.8
10/01/2011,24569.07,-377.43,24191.64
11/01/2011,68655.59,-838.46,67817.13
12/01/2011,24693.78,-735,23958.78
13/01/2011,20624.64,-91.1,20533.54
14/01/2011,47576.9,-199.64,47377.26
16/01/2011,7242.06,-125.45,7116.61
17/01/2011,29333.02,-77.02,29256
18/01/2011,95978.05,-77297.25,18680.8
19/01/2011,25934.57,-348.76,25585.81
20/01/2011,21246.99,-3251.08,17995.91
21/01/2011,32640.3,-661.86,31978.44
23/01/2011,10400.25,-114.3,10285.95
24/01/2011,25733.79,-178.17,25555.62
25/01/2011,29077.47,-1105.95,27971.52
26/01/2011,19922.29,-428.97,19493.32
27/01/2011,23730.84,-2638.7,21092.14
28/01/2011,20090.65,-1522.88,18567.77
30/01/2011,6615.75,-159.31,6456.44
31/01/2011,23640.36,-1275.71,22364.65
01/02/2011,29034.99,-601.77,28433.22
02/02/2011,21216.2,-167.75,21048.45
03/02/2011,23479.83,-135.25,23344.58
04/02/2011,25162.19,-168.02,24994.17
06/02/2011,3457.11,0,3457.11
07/02/2011,25955.01,-429.02,25525.99
08/02/2011,20949.92,-221.78,20728.14
09/02/2011,16692.58,0,16692.58
10/02/2011,14896.46,-1468.92,13427.54
11/02/2011,22873.1,-2485.82,20387.28
13/02/2011,5713.63,-178.23,5535.4
14/02/2011,26703.51,-481.48,26222.03
15/02/2011,39875.74,-3033.16,36842.58
16/02/2011,24949.1,-218.29,24730.81
17/02/2011,26372.67,-10.8,26361.87
18/02/2011,16208.75,-280.35,15928.4
20/02/2011,9624.69,-45.8,9578.89
21/02/2011,36388.75,-12580.92,23807.83
22/02/2011,32498.35,-205.73,32292.62
23/02/2011,26891.6,-98.84,26792.76
24/02/2011,22809.84,-154.01,22655.83
25/02/2011,20595.74,-2565.9,18029.84
27/02/2011,9526.5,-35.45,9491.05
28/02/2011,21755.63,-1.95,21753.68
01/03/2011,26354.96,-883.25,25471.71
02/03/2011,18690.79,-394.34,18296.45
03/03/2011,36404,-561.38,35842.62
04/03/2011,19506.8,-31.93,19474.87
06/03/2011,10005.37,-409.14,9596.23
07/03/2011,32356.55,-1830.97,30525.58
08/03/2011,25081.62,-64.15,25017.47
09/03/2011,22038.84,-131.72,21907.12
10/03/2011,26120.22,-522.33,25597.89
11/03/2011,25475.18,-3479.9,21995.28
13/03/2011,4148.12,-10.5,4137.62
14/03/2011,26019.55,-154.96,25864.59
15/03/2011,23493.49,-2833.46,20660.03
16/03/2011,21948.36,-765.72,21182.64
17/03/2011,39904.94,-1100.69,38804.25
18/03/2011,28171.79,-11401.33,16770.46
20/03/2011,22153.49,-172.85,21980.64
21/03/2011,16715.52,-345.25,16370.27
22/03/2011,31515.58,-203.23,31312.35
23/03/2011,24091.67,-62.6,24029.07
24/03/2011,36697.14,-135.04,36562.1
25/03/2011,31394.21,-738.18,30656.03
27/03/2011,9241.35,-261.37,8979.98
28/03/2011,23176.72,-3969.69,19207.03
29/03/2011,70711.92,-180.45,70531.47
30/03/2011,31885.28,-396.03,31489.25
31/03/2011,34335.9,-3331.82,31004.08
01/04/2011,25667.51,-1275.73,24391.78
03/04/2011,6943.15,-65.05,6878.1
04/04/2011,33254.24,-8181.22,25073.02
05/04/2011,30144.77,-1790.94,28353.83
06/04/2011,17362.36,-83.01,17279.35
07/04/2011,18512.89,-283.89,18229
08/04/2011,25295.64,-1996.5,23299.14
10/04/2011,9913.98,-550.1,9363.88
11/04/2011,22353.27,-242.96,22110.31
12/04/2011,25570.3,-446.05,25124.25
13/04/2011,24484.42,-586.22,23898.2
14/04/2011,36104.07,-808.49,35295.58
15/04/2011,28334.12,-6.99,28327.13
17/04/2011,12725.5,-21.2,12704.3
18/04/2011,56026.18,-23840.57,32185.61
19/04/2011,24338.7,-501.05,23837.65
20/04/2011,28670.47,-431.08,28239.39
21/04/2011,32615.63,-1417.03,31198.6
26/04/2011,31047.43,-461.89,30585.54
27/04/2011,25942.44,-351.88,25590.56
28/04/2011,22501.55,-1259.65,21241.9
01/05/2011,6973.66,-9,6964.66
03/05/2011,35229.41,-15611.55,19617.86
04/05/2011,27544.15,-81.85,27462.3
05/05/2011,29174.29,-423.64,28750.65
06/05/2011,36126.35,-411.77,35714.58
08/05/2011,18867.4,-58.48,18808.92
09/05/2011,27899.71,-1839.28,26060.43
10/05/2011,47819.98,-2255.86,45564.12
11/05/2011,33687.25,-446.89,33240.36
12/05/2011,61903.09,-1991.12,59911.97
13/05/2011,30749.95,-5.88,30744.07
15/05/2011,9924.28,0,9924.28
16/05/2011,39651.28,-14371.51,25279.77
17/05/2011,55151.99,-1548.16,53603.83
18/05/2011,34483.44,-146.15,34337.29
19/05/2011,35599.35,-1250.6,34348.75
20/05/2011,26718.17,-461.65,26256.52
22/05/2011,24231.09,-25.72,24205.37
23/05/2011,34685.6,-3946.05,30739.55
24/05/2011,37660.04,-631.13,37028.91
25/05/2011,24408.12,-255.84,24152.28
26/05/2011,33497.03,-288.44,33208.59
27/05/2011,28442.03,-209.84,28232.19
29/05/2011,7394.3,-186,7208.3
31/05/2011,22714.06,-746.1,21967.96
01/06/2011,20595.69,-404.49,20191.2
02/06/2011,32826.14,-324.13,32502.01
03/06/2011,16913.25,-162.25,16751
05/06/2011,25639.54,-119.19,25520.35
06/06/2011,17789.07,-997.68,16791.39
07/06/2011,37957.72,-313.42,37644.3
08/06/2011,43264.33,-323.42,42940.91
09/06/2011,46389.1,-873.35,45515.75
10/06/2011,62234.44,-39693.78,22540.66
12/06/2011,12517.06,-33.2,12483.86
13/06/2011,22457.21,-2084.28,20372.93
14/06/2011,40474.01,-262.08,40211.93
15/06/2011,49097.99,-2958.81,46139.18
16/06/2011,34584.68,-452.95,34131.73
17/06/2011,21076.17,-275.45,20800.72
19/06/2011,22442.18,-82.17,22360.01
20/06/2011,37514.98,-4021.58,33493.4
21/06/2011,24784.37,-2054.36,22730.01
22/06/2011,21825.99,-31.05,21794.94
23/06/2011,25242.82,-969.51,24273.31
24/06/2011,19521.96,-10902.08,8619.88
26/06/2011,7082.49,-907.32,6175.17
27/06/2011,17015.76,-191.9,16823.86
28/06/2011,35607.32,-902.68,34704.64
29/06/2011,22088.32,-312.89,21775.43
30/06/2011,44797.31,-962.76,43834.55
01/07/2011,13675.06,-503.24,13171.82
03/07/2011,6032.39,-55.25,5977.14
04/07/2011,44652.83,-498.08,44154.75
05/07/2011,40758.43,-423.46,40334.97
06/07/2011,26387.54,-107.96,26279.58
07/07/2011,32445.71,-1087.99,31357.72
08/07/2011,27082.1,-242.02,26840.08
10/07/2011,5993.87,-301.8,5692.07
11/07/2011,22605.02,-175.49,22429.53
12/07/2011,26262.55,-370.51,25892.04
13/07/2011,22641.94,-11029.89,11612.05
14/07/2011,33602.13,-1026.17,32575.96
15/07/2011,14836.43,-357.5,14478.93
17/07/2011,17194.56,-19.9,17174.66
18/07/2011,38831.61,-10388.34,28443.27
19/07/2011,50182.83,-866.05,49316.78
20/07/2011,33308.24,-6002.83,27305.41
21/07/2011,32818.54,-1861.47,30957.07
22/07/2011,20124.86,-109.63,20015.23
24/07/2011,27099.46,-623.26,26476.2
25/07/2011,26887.15,-199.5,26687.65
26/07/2011,21644.26,-372.96,21271.3
27/07/2011,25602.93,-34.48,25568.45
28/07/2011,56269.74,-562.86,55706.88
29/07/2011,18790.4,-696.19,18094.21
31/07/2011,33490.61,-4.25,33486.36
01/08/2011,21388.92,-26.08,21362.84
02/08/2011,26580.6,-11633.33,14947.27
03/08/2011,28113.14,-1038.12,27075.02
04/08/2011,65502.21,-4473.56,61028.65
05/08/2011,21538.58,-240.28,21298.3
07/08/2011,7578.91,-114.79,7464.12
08/08/2011,23377.65,-3390.5,19987.15
09/08/2011,27679.44,-1056.24,26623.2
10/08/2011,28792.34,-1318.12,27474.22
11/08/2011,72433.79,-301,72132.79
12/08/2011,10107.23,-57.75,10049.48
14/08/2011,5718.57,-568.39,5150.18
15/08/2011,17243.97,-38.43,17205.54
16/08/2011,19239.66,-135.95,19103.71
17/08/2011,53499.96,-4107.74,49392.22
18/08/2011,54106.93,-881.26,53225.67
19/08/2011,17349.59,-101.05,17248.54
21/08/2011,14576.86,-27.65,14549.21
22/08/2011,29651.46,-1673.05,27978.41
23/08/2011,25993.68,-237.38,25756.3
24/08/2011,49035.36,-11960.46,37074.9
25/08/2011,23827.46,-1368.58,22458.88
26/08/2011,25626.44,-76.21,25550.23
28/08/2011,10805.03,-20.25,10784.78
30/08/2011,31866.31,-225.41,31640.9
31/08/2011,25380.17,-9262.17,16118
01/09/2011,37370.15,-73.55,37296.6
02/09/2011,42322.02,-576.95,41745.07
04/09/2011,17119.59,-101.1,17018.49
05/09/2011,37157.14,-313.1,36844.04
06/09/2011,28349.91,-297.29,28052.62
07/09/2011,34413.53,-287.88,34125.65
08/09/2011,27195.8,-487.8,26708
09/09/2011,30075.62,-757.93,29317.69
11/09/2011,35511.67,-46.2,35465.47
12/09/2011,29738.33,-699.02,29039.31
13/09/2011,55117.05,-288.6,54828.45
14/09/2011,23592.98,-232.32,23360.66
15/09/2011,78218.95,-15275.14,62943.81
16/09/2011,27724.22,-1866.16,25858.06
18/09/2011,15745.73,-53.4,15692.33
19/09/2011,49269.88,-3057.67,46212.21
20/09/2011,109612.03,-325.82,109286.21
21/09/2011,48560.68,-5616.61,42944.07
22/09/2011,59354.79,-2277.96,57076.83
23/09/2011,40601.75,-1175.27,39426.48
25/09/2011,31372.66,-161.74,31210.92
26/09/2011,29335.17,-692.9,28642.27
27/09/2011,36322.95,-570.79,35752.16
28/09/2011,43749.06,-366.02,43383.04
29/09/2011,46401.45,-2937.12,43464.33
30/09/2011,44357.06,-364.21,43992.85
02/10/2011,11634.53,-10.95,11623.58
03/10/2011,66376.82,-2162.04,64214.78
04/10/2011,48810.65,-569.81,48240.84
05/10/2011,75593.63,-349.2,75244.43
06/10/2011,62891.19,-7584.91,55306.28
07/10/2011,53790.7,-6252.68,47538.02
09/10/2011,12524.4,-602.16,11922.24
10/10/2011,48239.18,-3973.29,44265.89
11/10/2011,52572.94,-14305.19,38267.75
12/10/2011,32159.28,-2856.43,29302.85
13/10/2011,37446.18,-379.01,37067.17
14/10/2011,36347.64,-1122.1,35225.54
16/10/2011,22010.96,-405.52,21605.44
17/10/2011,52062.2,-4998.06,47064.14
18/10/2011,45332.16,-694.32,44637.84
19/10/2011,42573.36,-6569.93,36003.43
20/10/2011,61122.9,-329.76,60793.14
21/10/2011,63226.64,-265.38,62961.26
23/10/2011,12339.16,-36.75,12302.41
24/10/2011,48752.91,-10345.19,38407.72
25/10/2011,41314.64,-507.15,40807.49
26/10/2011,38059.43,-217.35,37842.08
27/10/2011,57291.72,-9811.57,47480.15
28/10/2011,40565.7,-1006.23,39559.47
30/10/2011,34571.23,-25.95,34545.28
31/10/2011,57369.15,-8893.7,48475.45
01/11/2011,29155.15,-413.6,28741.55
02/11/2011,45888.34,-649.28,45239.06
03/11/2011,63561.49,-744.94,62816.55
04/11/2011,62977.36,-2895.6,60081.76
06/11/2011,42946.34,-33.94,42912.4
07/11/2011,85881.81,-15880.73,70001.08
08/11/2011,57700.24,-1052.58,56647.66
09/11/2011,66127.57,-3528.14,62599.43
10/11/2011,71008.26,-2052.02,68956.24
11/11/2011,55257.17,-421.66,54835.51
13/11/2011,34069.92,-549.7,33520.22
14/11/2011,114419.89,-2278.78,112141.11
15/11/2011,60807.29,-213.06,60594.23
16/11/2011,65958.17,-1549.47,64408.7
17/11/2011,61103.13,-773.41,60329.72
18/11/2011,51275.39,-3243.59,48031.8
20/11/2011,35058.57,-156.56,34902.01
21/11/2011,49805.72,-1503.22,48302.5
22/11/2011,64089.82,-1782.5,62307.32
23/11/2011,80104.18,-1623.48,78480.7
24/11/2011,50978.63,-2898.35,48080.28
25/11/2011,50822.73,-380.01,50442.72
27/11/2011,20611.08,-39.58,20571.5
28/11/2011,57165.19,-1723.17,55442.02
29/11/2011,72595.93,-376.73,72219.2
30/11/2011,60126.96,-975.98,59150.98
01/12/2011,52197.25,-786.3,51410.95
02/12/2011,57664.07,-578.01,57086.06
04/12/2011,24621.43,-55.65,24565.78
05/12/2011,88741.96,-30990.64,57751.32
06/12/2011,56713.21,-2484.84,54228.37
07/12/2011,75439.16,-362.94,75076.22
08/12/2011,82495,-1077.22,81417.78
09/12/2011,200920.6,-168789.07,32131.53
